repo,source_file,rule_id,level,security_relevant,priority,file,line,message
Anthropic-Cybersecurity-Skills,Anthropic-Cybersecurity-Skills-codeql.json,py/insecure-protocol,warning,yes,P2,skills/performing-ssl-tls-inspection-configuration/scripts/agent.py,30,Insecure SSL/TLS protocol version TLSv1 allowed by [call to ssl.create_default_context](1). Insecure SSL/TLS protocol version TLSv1_1 allowed by [call to ssl.create_default_context](1).
Anthropic-Cybersecurity-Skills,Anthropic-Cybersecurity-Skills-codeql.json,py/insecure-protocol,warning,yes,P2,skills/performing-ssl-tls-inspection-configuration/scripts/agent.py,82,Insecure SSL/TLS protocol version TLSv1 allowed by [call to ssl.SSLContext](1). Insecure SSL/TLS protocol version TLSv1_1 allowed by [call to ssl.SSLContext](1).
Anthropic-Cybersecurity-Skills,Anthropic-Cybersecurity-Skills-codeql.json,py/insecure-protocol,warning,yes,P2,skills/implementing-saml-sso-with-okta/scripts/agent.py,115,Insecure SSL/TLS protocol version TLSv1 allowed by [call to ssl.create_default_context](1). Insecure SSL/TLS protocol version TLSv1_1 allowed by [call to ssl.create_default_context](1).
Anthropic-Cybersecurity-Skills,Anthropic-Cybersecurity-Skills-codeql.json,py/insecure-protocol,warning,yes,P2,skills/performing-external-network-penetration-test/scripts/agent.py,99,Insecure SSL/TLS protocol version TLSv1 allowed by [call to ssl.create_default_context](1). Insecure SSL/TLS protocol version TLSv1_1 allowed by [call to ssl.create_default_context](1).
Anthropic-Cybersecurity-Skills,Anthropic-Cybersecurity-Skills-codeql.json,py/insecure-protocol,warning,yes,P2,skills/implementing-mtls-for-zero-trust-services/scripts/agent.py,89,Insecure SSL/TLS protocol version TLSv1 allowed by [call to ssl.SSLContext](1). Insecure SSL/TLS protocol version TLSv1_1 allowed by [call to ssl.SSLContext](1).
Anthropic-Cybersecurity-Skills,Anthropic-Cybersecurity-Skills-codeql.json,py/insecure-protocol,warning,yes,P2,skills/exploiting-http-request-smuggling/scripts/agent.py,55,Insecure SSL/TLS protocol version TLSv1 allowed by [call to ssl.create_default_context](1). Insecure SSL/TLS protocol version TLSv1_1 allowed by [call to ssl.create_default_context](1).
Anthropic-Cybersecurity-Skills,Anthropic-Cybersecurity-Skills-codeql.json,py/insecure-protocol,warning,yes,P2,skills/deploying-software-defined-perimeter/scripts/agent.py,52,Insecure SSL/TLS protocol version TLSv1 allowed by [call to ssl.create_default_context](1). Insecure SSL/TLS protocol version TLSv1_1 allowed by [call to ssl.create_default_context](1).
Anthropic-Cybersecurity-Skills,Anthropic-Cybersecurity-Skills-codeql.json,py/insecure-protocol,warning,yes,P2,skills/performing-post-quantum-cryptography-migration/scripts/agent.py,208,Insecure SSL/TLS protocol version TLSv1 allowed by [call to ssl.create_default_context](1). Insecure SSL/TLS protocol version TLSv1_1 allowed by [call to ssl.create_default_context](1).
Anthropic-Cybersecurity-Skills,Anthropic-Cybersecurity-Skills-codeql.json,py/insecure-protocol,warning,yes,P2,skills/implementing-pci-dss-compliance-controls/scripts/agent.py,26,Insecure SSL/TLS protocol version TLSv1 allowed by [call to ssl.create_default_context](1). Insecure SSL/TLS protocol version TLSv1_1 allowed by [call to ssl.create_default_context](1).
Anthropic-Cybersecurity-Skills,Anthropic-Cybersecurity-Skills-codeql.json,py/insecure-protocol,warning,yes,P2,skills/configuring-tls-1-3-for-secure-communications/scripts/agent.py,38,Insecure SSL/TLS protocol version TLSv1 allowed by [call to ssl.SSLContext](1). Insecure SSL/TLS protocol version TLSv1_1 allowed by [call to ssl.SSLContext](1).
Anthropic-Cybersecurity-Skills,Anthropic-Cybersecurity-Skills-codeql.json,py/insecure-protocol,warning,yes,P2,skills/configuring-tls-1-3-for-secure-communications/scripts/agent.py,56,Insecure SSL/TLS protocol version TLSv1 allowed by [call to ssl.create_default_context](1). Insecure SSL/TLS protocol version TLSv1_1 allowed by [call to ssl.create_default_context](1).
Anthropic-Cybersecurity-Skills,Anthropic-Cybersecurity-Skills-codeql.json,py/insecure-protocol,warning,yes,P2,skills/configuring-tls-1-3-for-secure-communications/scripts/agent.py,80,Insecure SSL/TLS protocol version TLSv1 allowed by [call to ssl.SSLContext](1). Insecure SSL/TLS protocol version TLSv1_1 allowed by [call to ssl.SSLContext](1).
Anthropic-Cybersecurity-Skills,Anthropic-Cybersecurity-Skills-codeql.json,py/insecure-protocol,warning,yes,P2,skills/hunting-for-domain-fronting-c2-traffic/scripts/agent.py,102,Insecure SSL/TLS protocol version TLSv1 allowed by [call to ssl.create_default_context](1). Insecure SSL/TLS protocol version TLSv1_1 allowed by [call to ssl.create_default_context](1).
Anthropic-Cybersecurity-Skills,Anthropic-Cybersecurity-Skills-codeql.json,py/insecure-protocol,warning,yes,P2,skills/performing-cryptographic-audit-of-application/scripts/agent.py,154,Insecure SSL/TLS protocol version TLSv1 allowed by [call to ssl.create_default_context](1). Insecure SSL/TLS protocol version TLSv1_1 allowed by [call to ssl.create_default_context](1).
Anthropic-Cybersecurity-Skills,Anthropic-Cybersecurity-Skills-codeql.json,py/insecure-protocol,warning,yes,P2,skills/performing-ssl-certificate-lifecycle-management/scripts/agent.py,77,Insecure SSL/TLS protocol version TLSv1 allowed by [call to ssl.create_default_context](1). Insecure SSL/TLS protocol version TLSv1_1 allowed by [call to ssl.create_default_context](1).
Anthropic-Cybersecurity-Skills,Anthropic-Cybersecurity-Skills-codeql.json,py/insecure-protocol,warning,yes,P2,skills/tracking-threat-actor-infrastructure/scripts/agent.py,102,Insecure SSL/TLS protocol version TLSv1 allowed by [call to ssl.create_default_context](1). Insecure SSL/TLS protocol version TLSv1_1 allowed by [call to ssl.create_default_context](1).
Anthropic-Cybersecurity-Skills,Anthropic-Cybersecurity-Skills-codeql.json,py/insecure-protocol,warning,yes,P2,skills/implementing-zero-trust-network-access-with-zscaler/scripts/process.py,72,Insecure SSL/TLS protocol version TLSv1 allowed by [call to ssl.create_default_context](1). Insecure SSL/TLS protocol version TLSv1_1 allowed by [call to ssl.create_default_context](1).
Anthropic-Cybersecurity-Skills,Anthropic-Cybersecurity-Skills-codeql.json,py/insecure-protocol,warning,yes,P2,skills/performing-external-network-penetration-test/scripts/process.py,141,Insecure SSL/TLS protocol version TLSv1 allowed by [call to ssl.create_default_context](1). Insecure SSL/TLS protocol version TLSv1_1 allowed by [call to ssl.create_default_context](1).
Anthropic-Cybersecurity-Skills,Anthropic-Cybersecurity-Skills-codeql.json,py/insecure-protocol,warning,yes,P2,skills/performing-ssl-certificate-lifecycle-management/scripts/process.py,171,Insecure SSL/TLS protocol version TLSv1 allowed by [call to ssl.create_default_context](1). Insecure SSL/TLS protocol version TLSv1_1 allowed by [call to ssl.create_default_context](1).
Anthropic-Cybersecurity-Skills,Anthropic-Cybersecurity-Skills-codeql.json,py/insecure-protocol,warning,yes,P2,skills/configuring-tls-1-3-for-secure-communications/scripts/process.py,131,Insecure SSL/TLS protocol version TLSv1 allowed by [call to ssl.SSLContext](1). Insecure SSL/TLS protocol version TLSv1_1 allowed by [call to ssl.SSLContext](1).
Anthropic-Cybersecurity-Skills,Anthropic-Cybersecurity-Skills-codeql.json,py/insecure-protocol,warning,yes,P2,skills/configuring-tls-1-3-for-secure-communications/scripts/process.py,154,Insecure SSL/TLS protocol version TLSv1 allowed by [call to ssl.SSLContext](1). Insecure SSL/TLS protocol version TLSv1_1 allowed by [call to ssl.SSLContext](1).
